代码,简称,日期,涨跌幅(%),
881001.WI,万得全A,2012-04-16,-0.0995,
881001.WI,万得全A,2012-04-17,-1.0738,
881001.WI,万得全A,2012-04-18,1.9916,
881001.WI,万得全A,2012-04-19,-0.1693,
881001.WI,万得全A,2012-04-20,1.0821,
881001.WI,万得全A,2012-04-23,-0.9491,
881001.WI,万得全A,2012-04-24,-0.1759,
881001.WI,万得全A,2012-04-25,0.8506,
881001.WI,万得全A,2012-04-26,-0.104,
881001.WI,万得全A,2012-04-27,-0.3557,
881001.WI,万得全A,2012-05-02,1.7665,
881001.WI,万得全A,2012-05-03,0.1646,
881001.WI,万得全A,2012-05-04,0.6254,
881001.WI,万得全A,2012-05-07,0.1979,
881001.WI,万得全A,2012-05-08,-0.2152,
881001.WI,万得全A,2012-05-09,-1.6881,
881001.WI,万得全A,2012-05-10,0.1097,
881001.WI,万得全A,2012-05-11,-0.6182,
881001.WI,万得全A,2012-05-14,-0.5144,
